,MSE,SSIM,RECON,VAE_LOSS
0,0.09793382346191827,0.8759319975095636,0.4869329092257163,0.5394278633243897
1,0.07639177055919871,0.8150054829962113,0.4456986263394356,0.4963528342983302
2,0.06816583828014486,0.7663385219433728,0.41725218296051025,0.4925951309063855
3,0.05925320346346673,0.709807904327617,0.38453055392293367,0.4909961052677211
4,0.05621022577671444,0.6823793132515514,0.36929476962370034,0.4910629593274173
5,0.05275823038947933,0.6592448537840563,0.356001541018486,0.48924095928668976
6,0.05077049064943019,0.6445241316276438,0.3476473136859782,0.48816821899484186
7,0.049695186536101735,0.6366972835624919,0.3431962351588642,0.4878404587507248
8,0.049022210816688394,0.6322367971434313,0.34062950576052947,0.48744773952399983
9,0.04844227487988332,0.6273898964419085,0.3379160862635164,0.48731956455637426
